trial_number,trap_number,prawn_id,stage,treatment,abdomen_turgor,abdomen_retraction,leg_movement,leg_retraction,maxilliped_movement,maxilliped_retraction,antenna,eye_turgor,pleopods,mouth,comments
15,3,42,2,30,1,1,1,1,1,1,1,1,1,1,
15,3,43,1,0,1,1,1,1,1,1,1,1,1,1,
15,3,44,1,90,1,1,1,1,1,1,1,1,1,1,
15,3,45,1,0,1,1,1,1,1,1,1,1,1,1,
15,3,46,3,0,1,1,1,1,1,1,1,1,1,1,
15,3,47,1,60,1,1,0,0,0,0,0,1,0,1,
15,3,48,1,60,1,1,1,1,1,1,1,1,1,1,
15,3,49,1,60,1,1,1,1,1,1,1,1,1,1,
15,3,50,1,90,0,0,1,0,1,0,0,1,0,1,
15,3,51,2,0,1,1,1,1,1,1,1,1,1,1,
15,3,52,1,0,1,1,1,1,1,1,1,1,1,1,
15,3,53,1,60,0,0,0,0,0,0,0,1,0,1,
15,3,54,2,0,1,1,1,1,1,1,1,1,1,1,
15,4,55,2,30,1,1,1,1,1,1,1,1,1,1,
15,4,56,1,0,1,1,1,1,1,1,1,1,1,1,
15,4,57,3,0,1,1,1,1,1,1,1,1,1,1,
15,4,58,1,30,1,1,1,1,1,1,1,1,1,1,
15,4,59,3,0,1,1,1,1,1,1,1,1,1,1,
15,4,60,3,0,1,1,1,1,1,1,1,1,1,1,
15,4,61,1,90,0,0,0,0,0,0,0,1,0,0,
15,4,62,3,60,1,1,1,1,1,1,1,1,1,1,
15,4,63,3,0,1,1,1,1,1,1,1,1,1,1,
15,4,64,1,0,1,1,1,1,1,1,1,1,1,1,
15,4,65,1,30,1,1,1,1,1,1,1,1,1,1,
15,4,66,1,0,1,1,1,1,1,1,1,1,1,1,
15,4,67,1,0,1,1,1,1,1,1,1,1,1,1,
15,4,68,3,60,1,1,1,1,1,1,1,1,1,1,
15,4,69,1,0,1,1,1,1,1,1,1,1,1,1,
15,4,70,3,60,1,1,1,1,1,1,1,1,0,1,
15,4,71,1,0,1,1,1,1,1,1,1,1,1,1,
15,4,72,1,0,0,0,1,1,1,1,0,1,0,1,
15,4,73,3,120,1,1,1,1,1,1,1,1,1,1,
15,4,74,1,30,1,1,1,1,1,1,1,1,1,1,
15,4,75,1,120,1,1,1,1,1,1,1,1,1,1,
15,4,76,3,60,0,0,1,0,1,0,0,1,0,1,
15,4,77,1,30,1,1,1,1,1,1,0,1,1,1,
15,4,78,1,60,1,1,1,1,1,1,1,1,1,1,
15,5,79,3,30,1,1,1,1,1,1,1,1,1,1,
15,5,80,1,0,1,1,1,1,1,1,1,1,1,1,
15,5,81,1,90,1,1,1,1,1,1,1,1,0,1,
15,5,82,3,30,1,1,1,1,1,1,1,1,1,1,
15,5,83,3,30,1,1,1,1,1,1,1,1,1,1,
15,5,84,3,30,1,1,1,1,1,1,1,1,1,1,
15,5,85,3,0,1,1,1,1,1,1,1,1,1,1,
15,5,86,1,30,1,1,1,1,1,1,1,1,1,1,
15,5,87,1,30,0,0,1,1,1,1,1,1,0,1,
15,5,88,2,30,1,1,1,1,1,1,1,1,1,1,
15,5,89,1,0,0,0,1,1,1,1,1,1,0,1,
15,5,90,3,0,1,1,1,1,1,1,1,1,1,1,
15,5,91,1,0,1,1,1,1,1,1,1,1,1,1,
15,5,92,1,30,1,1,1,1,1,1,1,1,1,1,
15,5,93,1,30,1,0,1,1,1,1,0,1,0,1,
15,5,94,1,0,1,1,1,1,1,1,1,1,1,1,
15,5,95,2,0,1,1,1,1,1,1,1,1,1,1,
15,5,96,1,0,1,1,1,1,1,1,1,1,1,1,
15,5,97,1,60,0,0,1,1,1,1,1,1,0,1,
15,5,98,1,0,1,1,1,1,1,1,1,1,1,1,
15,5,99,1,0,1,1,1,1,1,1,1,1,1,1,
15,5,100,1,30,0,0,1,1,1,1,1,1,0,1,
15,5,101,1,30,1,1,1,1,1,1,1,1,1,1,
15,6,102,1,30,1,1,1,1,1,1,1,1,1,1,
15,6,103,1,60,1,1,1,1,1,1,1,1,1,1,
15,6,104,1,0,1,1,1,1,1,1,1,1,1,1,
15,6,105,1,90,1,1,1,1,1,1,1,1,1,1,
15,6,106,1,30,1,1,1,1,1,1,1,1,1,1,
15,6,107,1,0,1,1,1,1,1,1,1,1,1,1,
15,6,108,1,30,1,1,1,1,1,1,1,1,1,1,
15,6,109,3,30,1,1,1,1,1,1,1,1,1,1,
15,6,110,1,0,1,1,1,1,1,1,1,1,1,1,
15,6,111,3,30,0,0,1,1,1,1,1,1,0,1,
15,6,112,2,30,1,1,1,1,1,1,1,1,1,1,
15,6,113,2,30,1,1,1,1,1,1,1,1,1,1,
15,6,114,3,60,1,1,1,1,1,1,1,1,1,1,
15,6,115,1,30,1,1,1,1,1,1,1,1,1,1,
15,6,116,1,0,1,1,1,1,1,1,1,1,1,1,
15,6,117,1,90,1,1,1,1,1,1,1,1,1,1,
15,6,118,2,0,1,1,1,1,1,1,1,1,1,1,
15,6,119,1,90,1,1,1,1,1,1,1,1,1,1,
15,6,120,1,0,1,1,1,1,1,1,1,1,1,1,
15,6,121,1,0,1,1,1,1,1,1,1,1,1,1,
15,6,122,1,0,1,1,1,1,1,1,1,1,1,1,
15,6,123,1,0,0,0,1,1,1,1,1,1,0,1,
15,6,124,2,30,1,1,1,1,1,1,1,1,1,1,
15,6,125,1,30,1,1,1,1,1,1,1,1,0,1,
15,6,126,1,0,1,1,1,1,1,1,1,1,1,1,
15,6,127,2,0,1,1,1,1,1,1,1,1,1,1,
15,6,128,1,0,1,1,1,1,1,1,1,1,1,1,
15,6,129,1,30,1,1,1,1,1,1,1,1,1,1,
15,6,130,2,60,1,1,1,1,1,1,1,1,1,1,
15,6,131,3,30,1,1,1,1,1,1,1,1,1,1,
15,6,132,3,30,1,1,1,1,1,1,0,1,0,1,
15,2,133,1,120,0,0,1,0,1,1,0,1,0,1,
20,1,1,2,30,1,1,1,1,1,1,1,1,1,1,
20,1,2,1,0,1,1,1,1,1,1,1,1,1,1,
20,1,3,1,30,1,1,1,1,1,1,1,1,1,1,
20,1,4,3,0,1,1,1,1,1,1,1,1,1,1,
20,1,5,1,0,1,1,1,1,1,1,1,1,1,1,
20,1,6,2,0,1,1,1,1,1,1,1,1,1,1,
20,1,7,1,30,1,1,1,1,1,1,1,1,1,1,
20,1,8,2,30,1,1,1,1,1,1,1,1,1,1,
20,1,9,3,60,1,1,1,1,1,1,1,1,1,1,
20,1,10,1,0,1,1,1,1,1,1,1,1,1,1,
20,1,11,2,0,1,1,1,1,1,1,1,1,1,1,
20,1,12,1,30,1,1,1,1,1,1,1,1,1,1,
20,1,13,3,0,0,0,1,0,1,0,1,1,0,1,
20,1,14,1,30,0,0,1,1,1,1,1,1,0,1,
20,1,15,1,0,1,1,1,1,1,1,1,1,1,1,
20,1,16,3,30,1,1,1,1,1,1,1,1,1,1,
20,1,17,3,30,0,0,1,0,0,1,1,1,0,1,
20,1,18,1,30,1,1,1,1,1,1,1,1,1,1,
20,1,19,1,30,1,0,1,1,1,1,1,1,0,1,
20,1,20,2,60,1,1,1,1,1,1,1,1,1,1,
20,1,21,1,60,0,0,1,0,1,0,0,1,0,1,
20,1,22,1,0,1,1,1,1,1,1,1,1,1,1,
20,2,23,2,0,1,1,1,1,1,1,1,1,1,1,
20,2,24,1,30,1,1,1,1,1,1,1,1,1,1,
20,2,25,1,30,0,0,1,1,1,1,1,1,0,1,
20,2,26,1,0,1,1,1,1,1,1,1,1,1,1,
20,2,27,3,30,1,1,1,1,1,1,1,1,1,1,
20,2,28,3,0,1,1,1,1,1,1,1,1,1,1,
20,2,29,1,0,1,1,1,1,1,1,1,1,1,1,
20,2,30,3,0,1,1,1,1,1,1,1,1,1,1,
20,2,31,3,0,1,1,1,1,1,1,1,1,1,1,
20,2,32,1,30,1,1,1,1,1,1,1,1,1,1,
20,2,33,1,0,1,1,1,1,1,1,1,1,1,1,
20,2,34,1,0,1,1,1,1,1,1,1,1,1,1,
20,2,35,3,0,1,1,1,1,1,1,1,1,1,1,
20,2,36,3,30,0,0,1,1,1,1,1,1,0,1,
20,2,37,1,0,1,1,1,1,1,1,1,1,1,1,
20,2,38,3,0,0,0,1,1,1,1,1,1,0,1,
20,2,39,1,30,1,1,1,1,1,1,1,1,1,1,
20,2,40,1,30,0,0,1,1,1,1,1,1,0,1,
20,3,41,1,30,1,1,1,1,1,1,1,1,1,1,
20,3,42,3,30,1,1,1,1,1,1,1,1,1,1,
20,3,43,3,0,1,1,1,1,1,1,1,1,1,1,
20,3,44,2,30,1,1,1,1,1,1,1,1,1,1,
20,3,45,1,30,0,0,1,1,1,1,1,1,1,1,
20,3,46,2,0,1,1,1,1,1,1,1,1,1,1,
20,3,47,2,60,1,1,1,1,1,1,1,1,1,1,
20,3,48,3,0,1,1,1,1,1,1,1,1,1,1,
20,3,49,1,0,1,1,1,1,1,1,1,1,1,1,
20,3,50,1,0,1,1,1,1,1,1,1,1,1,1,
20,3,51,3,0,1,1,1,1,1,1,1,1,1,1,
20,3,52,3,0,1,1,1,1,1,1,1,1,1,1,
20,3,53,1,30,1,1,1,1,1,1,1,1,1,1,
20,3,54,2,0,1,1,1,1,1,1,0,1,1,1,
20,3,55,1,0,0,0,1,0,1,0,1,1,0,1,
20,3,56,1,0,1,1,1,1,1,1,1,1,1,1,
20,3,57,3,0,1,1,1,1,1,1,1,1,1,1,
20,3,58,3,90,1,1,1,1,1,1,1,1,1,1,
20,3,59,3,30,0,0,0,0,0,0,0,0,0,0,
20,3,60,2,0,1,1,1,1,1,1,1,1,1,1,
20,4,61,2,0,1,1,1,1,1,1,1,1,1,1,
20,4,62,3,60,0,0,0,0,0,0,0,1,0,1,
20,4,63,2,0,1,1,1,1,1,1,1,1,1,1,
20,4,64,2,30,0,0,0,0,0,0,0,1,0,0,
20,4,65,3,30,0,0,1,0,1,0,1,1,0,1,
20,4,66,2,0,1,1,1,1,1,1,1,1,1,1,
20,4,67,3,0,1,1,1,1,1,1,1,1,1,1,
20,4,68,1,60,0,0,0,0,0,0,0,1,0,0,
20,4,69,3,0,0,0,0,0,0,0,0,1,0,0,
20,4,70,1,0,1,1,1,1,1,1,1,1,1,1,
20,4,71,3,0,0,0,1,1,1,1,1,1,0,1,
20,4,72,2,60,0,0,0,0,0,0,0,0,0,0,
20,4,73,1,60,0,0,0,0,0,0,0,0,0,0,
20,4,74,2,0,1,1,1,1,1,1,1,1,1,1,
20,4,75,3,0,1,1,1,1,1,1,1,1,1,1,
20,4,76,1,30,0,0,1,0,1,0,0,1,0,1,
20,4,77,3,30,0,0,1,0,1,0,0,1,0,1,
20,4,78,1,0,1,0,1,0,1,0,0,1,0,1,
20,4,79,1,0,1,1,1,1,1,1,0,1,1,1,
20,5,80,3,0,1,1,1,1,1,1,1,1,1,1,
20,5,81,1,30,0,0,1,0,1,0,0,1,0,1,
20,5,82,2,60,0,0,0,0,0,0,0,0,0,0,
20,5,83,1,0,1,0,1,1,1,1,1,1,0,1,
20,5,84,2,0,1,1,1,1,1,1,1,1,1,1,
20,5,85,1,0,1,1,1,1,1,1,1,1,1,1,
20,5,86,2,30,0,0,0,0,0,0,0,0,0,0,
20,5,87,1,30,0,0,0,0,1,0,1,1,0,0,
20,5,88,1,30,1,1,1,1,1,1,1,1,1,1,
