trial_number,trap_number,prawn_id,stage,treatment,abdomen_turgor,abdomen_retraction,leg_movement,leg_retraction,maxilliped_movement,maxilliped_retraction,antenna,eye_turgor,pleopods,mouth,comments
4,2,25,2,30,1,1,1,1,1,1,1,1,1,1,
4,2,26,1,0,1,1,1,1,1,1,1,1,1,1,
4,2,27,2,30,1,1,1,1,1,1,1,1,1,1,
4,2,28,1,0,1,1,1,1,1,1,1,1,1,1,
4,2,29,2,30,1,1,1,1,1,1,1,1,1,1,
4,2,30,1,90,1,1,1,1,1,1,1,1,1,1,
4,2,31,1,30,1,1,1,1,1,1,1,1,1,1,
4,2,32,3,0,1,1,1,1,1,1,1,1,1,1,
4,2,33,0,60,1,1,1,1,1,1,1,0,1,1,
4,2,34,0,60,1,1,1,1,1,1,1,1,1,1,
4,2,35,1,60,1,1,1,1,1,1,1,1,1,1,
4,2,36,2,30,1,1,1,1,1,1,1,1,1,1,
4,2,37,3,0,1,1,1,1,1,1,1,1,1,1,
4,2,38,1,60,1,1,1,1,1,1,1,0,0,1,
4,2,39,2,0,1,1,1,1,1,1,1,1,1,1,
4,2,40,1,0,1,1,1,1,1,1,1,1,1,1,
4,2,41,3,90,1,1,1,1,1,1,1,1,1,1,
4,2,42,1,60,1,1,1,1,1,1,1,1,1,1,
4,2,43,1,90,1,1,1,1,1,1,1,1,1,1,
4,2,44,1,90,1,1,1,1,1,1,1,1,0,1,
4,2,45,1,0,1,1,1,1,1,1,1,1,1,1,
4,2,46,1,0,1,1,1,1,1,1,1,1,1,1,
4,2,47,1,0,1,1,1,1,1,1,1,1,1,1,
4,2,48,1,30,1,1,1,1,1,1,1,1,1,1,
4,3,49,1,60,1,1,1,1,1,1,1,1,1,1,
4,3,50,1,90,1,1,1,1,1,1,1,1,1,1,
4,3,51,2,30,1,1,1,1,1,1,1,1,1,1,
4,3,52,1,90,1,1,1,1,1,1,1,1,1,1,
4,3,53,3,0,1,1,1,1,1,1,1,1,1,1,
4,3,54,1,0,1,1,1,1,1,1,1,1,1,1,
4,3,55,3,60,1,1,1,1,1,1,1,1,1,1,
4,3,56,1,30,1,1,1,1,1,1,1,1,1,1,
4,3,57,3,30,1,0,1,1,1,1,1,1,0,1,
4,3,58,1,60,1,1,1,1,1,1,1,1,1,1,
4,3,59,1,60,1,1,1,1,1,1,1,0,1,1,
4,3,60,1,90,1,1,1,1,1,1,1,1,1,1,
4,3,61,2,0,1,1,1,1,1,1,1,1,1,1,
4,3,62,3,30,1,0,1,0,1,1,0,1,1,1,
